,Label,Array_Index,Indentation_Number,PEAK_HARDNESS_AVERAGE,VALLEY_HARDNESS_AVERAGE,STRAIN_RATE_SENSITIVITY,ACTIVATION_VOLUME,Area Mean,equivalent_diameter Mean,Aspect Ratio Mean,OrientMax0,OrientMax1,OrientMax2,OrientMax3,OrientMode0,OrientMode1,OrientMode2,OrientMode3,R_Max,G_Max,B_Max,R_Mode,G_Mode,B_Mode
194,Carl,13,3,2.560824871177897,2.4488212503570512,0.0097113968891509,53.168970830495205,1.7822253215244972,1.4324720042106205,2.2191074968901967,0.4473396791597803,-0.11918473901566123,-0.8291242339865275,0.31342497356025684,0.4493404648973503,-0.12325617230907943,-0.8247263062570221,0.3205114387368978,0.6638465956073352,0.03692131642947194,1.0,0.6877845372425813,0.10236445804782357,1.0
196,Carl,13,5,2.6877155393458056,2.630219734878423,0.0046956351162516,103.57481391032148,4.780819412189154,2.2567389386699483,4.231251708655444,0.7597061121850819,0.587217280402965,-0.00881386825691825,0.27918596746814306,0.760227299704533,0.5876957297515473,-0.010258267120849485,0.2767001083690211,1.0,0.016202531994390368,0.8542108272458808,1.0,0.0023250968750800904,0.8407373638026076
197,Carl,13,6,2.594944757775543,2.4852580206099484,0.0093783163942628,54.292044801578186,9.430842698822914,3.0743608729553134,7.1440970561165305,0.7580197899343837,0.6003684921452542,0.007621884783729267,0.25476573274169045,0.7650183450667278,0.5807029557109398,0.0,0.27844390627187954,1.0,0.14489619875616433,0.785818168687642,1.0,0.008228846362952735,0.9126778137680333
198,Carl,13,7,2.5743217208040474,2.5041390727531083,0.0060021881867801,84.85170357224384,5.192951222330209,2.203310342094342,4.925708540627938,0.730272912557706,0.640309267945573,-0.04631800425033295,0.2335811573088803,0.7348059425095568,0.6269256369648721,-0.054848886108195355,0.2530139764153786,1.0,0.20765775215545346,0.4688280309768732,1.0,0.10747343119122044,0.5081727444876265
202,Carl,13,11,2.6724413260251323,2.569748120097753,0.0085088109709065,57.98939856395803,6.161899796921566,2.446128800850465,4.703712698093941,0.7438164739951655,0.5847182891876227,-0.017141656405408538,0.3233384278408273,0.7521446645092201,0.5801502551703427,-0.025329907169351008,0.3115485209062806,1.0,0.13959809243033394,0.9536798181100624,1.0,0.008228846362952735,0.9126778137680333
205,Carl,13,14,2.5239225913677887,2.4199254392794125,0.0091370229546919,57.26231083013479,3.815484177778471,1.982529012382216,3.32783171328882,0.246541443665224,0.38854092951353425,0.4199539954969065,0.7822351975681038,0.24480925783617272,0.39231723041178135,0.4281391286643291,0.776435769723601,0.7121047370210166,0.4519950101763368,1.0,0.7490595033544578,0.5543124380624787,1.0
206,Carl,13,15,2.7928265527537457,2.7159665748658126,0.0060597720259077,77.48008016625185,3.9332453945476,1.9418757693218365,3.5151366286961965,0.7268312372369969,-0.06068306839725114,-0.5881058429313193,0.3495217236402814,0.17689068524115698,0.5279223524300426,-0.6636893574551793,0.4995238853952584,1.0,0.08294297485003299,0.8492301888386313,0.9013652567610488,0.550737851126756,1.0
209,Carl,14,2,2.581736011968811,2.4950749399604684,0.0074141192018027,68.71732728808284,3.736018008203952,1.9366547439719053,3.610325148724807,0.7452067572505258,0.5899522454130935,-0.002282049940581874,0.3108344082116293,0.7447040698476448,0.5876957297515473,-0.010258267120849485,0.3161081231791237,1.0,0.22432410775009926,0.9475518388572464,1.0,0.17828425238190793,0.944626426524153
210,Carl,14,3,2.5902548904615417,2.485465664114128,0.0089673672259915,56.829480051604,6.617030227309433,2.54952436330948,4.202742777381666,0.32047057671943197,0.38358695326476966,0.4059569033707184,0.7650873488352969,0.3220117556978441,0.38628812471190704,0.41424329799516135,0.7586121564838268,0.8258557594876746,0.0029871217676131767,1.0,0.8647805067732025,0.08055993354104984,1.0
211,Carl,14,4,2.788146043698136,2.714505800105434,0.0058123722542244,80.86770165061752,3.8824137503479696,1.959694303583032,3.25126297228337,0.7850924860450516,0.5551288785281765,-0.0024468920674195907,0.2746920626790301,0.7974489775729785,0.5478229307199962,-0.06726419800099714,0.24380461934189895,1.0,0.3114846181328539,0.9879542212316613,1.0,0.7868772242275239,0.7318785062368725
213,Carl,14,6,2.6778559637150665,2.6150853035517976,0.0051506767389893,94.87103103335076,6.030994546476821,2.373712706284583,5.403099176315376,0.304793685835148,-0.44960663075795454,0.5723088873306827,0.6143429206362041,0.3017547847443797,-0.4465850554208464,0.5716028047483946,0.6186889943763354,1.0,0.3772558245078015,0.2667427029335716,1.0,0.37963637230068126,0.23567544112518957
215,Carl,14,8,2.791357242691363,2.7390390843864414,0.0041085961941253,113.82505503396492,4.002894337047247,1.9828765417610827,3.818638308355312,0.7656701293301255,0.5816542797565587,-0.016149612915483034,0.27416553739510724,0.7527236243624659,0.587225810974839,-0.02563883260737724,0.29650572087922206,1.0,0.10790456112127367,0.8327208448673009,1.0,0.0023250968750800904,0.8407373638026076
217,Carl,14,10,2.8357088163933413,2.745530074558024,0.0070177140558062,66.0368189568281,6.331379383310593,2.4126604069596347,3.940448468198119,0.29734030661893357,-0.46593633257279143,-0.4007596204287984,0.7306735267423756,0.29519402398371963,-0.4646456136023602,-0.40391026968901445,0.7306308479691594,1.0,0.2405270476351169,0.6983664475186364,1.0,0.2781378183940153,0.7081166498772173
219,Carl,14,12,2.7812095613796948,2.708149515057296,0.0057805379914495,81.50990244455468,3.523556080704019,1.8957796567065288,2.490858985554236,0.47336741870003707,-0.07938148415824038,-0.8519735263361325,0.20919602603413404,0.48220600714360984,-0.0812818079494561,-0.8441438509466301,0.2197539380308762,0.8713044626335311,0.691589455566131,1.0,0.9013652567610488,0.550737851126756,1.0
229,Carl,15,6,2.679916589372975,2.585503102927975,0.0077881068975443,63.07485797383976,3.2887626280161912,1.7504128112296948,2.847818725819158,0.2276575101561466,-0.525080253694857,0.8074948583151752,0.14288050617142933,0.23116893775001762,-0.5235406424727544,0.8061818924767714,0.15012286348626416,1.0,0.9564665105398522,0.985005410425555,0.9761422108264255,1.0,0.9948409906317971
234,Carl,15,11,2.542698769061112,2.423856919185348,0.0103939665232499,50.109597372969645,6.456321246014773,2.53696572046836,4.764238845020259,0.5427882506046635,-0.6095076816297181,-0.47450776731614847,-0.3297327399524333,0.5331784777634265,-0.6209609477998339,-0.48514786313799835,-0.307830737662829,1.0,0.29423305664513455,0.37697206867788113,1.0,0.3940673431222197,0.47768615896451727
